5  !number of header lines including this one
This file contains 10 nm resolution data for use in SLC_demo
The data for W, Nr, Kab, Kw, Kdm and H2O_abko were taken from "dataSpec_P4.m"
The data for Ks and H2O_refr were taken from "OPTCOEFF.DAT"
W	Nr	Kdm	Kab	Kw	Ks	H2O_refr	H2O_abko	
201  !number of spectral bands
0.400	1.496310	1.100E+02	1.290E-01	5.800E-05	0.524590	1.336890	5.800E-05	
0.410	1.506900	6.300E+01	1.440E-01	6.700E-05	0.517190	1.336890	6.700E-05	
0.420	1.521170	3.570E+01	1.510E-01	7.900E-05	0.507190	1.336890	7.900E-05	
0.430	1.532880	2.020E+01	1.580E-01	9.200E-05	0.496870	1.336890	9.200E-05	
0.440	1.538760	1.100E+01	1.620E-01	1.040E-04	0.485240	1.336890	1.040E-04	
0.450	1.542790	6.660E+00	1.490E-01	1.140E-04	0.473200	1.336890	1.140E-04	
0.460	1.542990	4.580E+00	1.250E-01	1.240E-04	0.461130	1.335730	1.240E-04	
0.470	1.538750	3.460E+00	1.110E-01	1.350E-04	0.450430	1.334820	1.350E-04	
0.480	1.537120	2.800E+00	1.060E-01	1.520E-04	0.439680	1.334130	1.520E-04	
0.490	1.529440	2.570E+00	8.800E-02	1.810E-04	0.427250	1.333630	1.810E-04	
0.500	1.503460	2.420E+00	5.970E-02	2.380E-04	0.415080	1.333290	2.380E-04	
0.510	1.468440	2.330E+00	3.770E-02	3.290E-04	0.405550	1.333080	3.290E-04	
0.520	1.446460	2.300E+00	2.360E-02	4.090E-04	0.396180	1.332980	4.090E-04	
0.530	1.439590	2.300E+00	1.690E-02	4.290E-04	0.384770	1.332950	4.290E-04	
0.540	1.435460	2.300E+00	1.480E-02	4.950E-04	0.366510	1.332960	4.950E-04	
0.550	1.431130	2.300E+00	1.390E-02	5.880E-04	0.351650	1.332990	5.880E-04	
0.560	1.425520	2.300E+00	1.420E-02	6.720E-04	0.339010	1.333000	6.720E-04	
0.570	1.418550	2.300E+00	1.650E-02	7.590E-04	0.321860	1.332980	7.590E-04	
0.580	1.413300	2.300E+00	1.960E-02	9.520E-04	0.301980	1.332930	9.520E-04	
0.590	1.410490	2.300E+00	2.170E-02	1.360E-03	0.282320	1.332860	1.360E-03	
0.600	1.408580	2.300E+00	2.280E-02	2.220E-03	0.263770	1.332780	2.220E-03	
0.610	1.407520	2.300E+00	2.490E-02	2.690E-03	0.246470	1.332680	2.690E-03	
0.620	1.408230	2.300E+00	2.800E-02	2.810E-03	0.230450	1.332570	2.810E-03	
0.630	1.407720	2.300E+00	2.920E-02	2.960E-03	0.215780	1.332460	2.960E-03	
0.640	1.410830	2.300E+00	3.210E-02	3.110E-03	0.202080	1.332350	3.110E-03	
0.650	1.422950	2.300E+00	3.890E-02	3.320E-03	0.189100	1.332250	3.320E-03	
0.660	1.438280	2.300E+00	4.590E-02	3.790E-03	0.176670	1.332150	3.790E-03	
0.670	1.471370	2.300E+00	5.770E-02	4.120E-03	0.163900	1.332080	4.120E-03	
0.680	1.496320	2.300E+00	5.650E-02	4.320E-03	0.150470	1.332030	4.320E-03	
0.690	1.444470	2.300E+00	3.250E-02	4.760E-03	0.137190	1.332000	4.760E-03	
0.700	1.410580	2.300E+00	1.260E-02	5.720E-03	0.124740	1.332000	5.720E-03	
0.710	1.426110	2.300E+00	5.460E-03	7.420E-03	0.113350	1.332000	7.420E-03	
0.720	1.446180	2.300E+00	2.530E-03	1.070E-02	0.102490	1.332000	1.070E-02	
0.730	1.463260	2.300E+00	1.100E-03	1.620E-02	0.092240	1.332000	1.620E-02	
0.740	1.473620	2.300E+00	4.540E-04	2.530E-02	0.082610	1.332000	2.530E-02	
0.750	1.476630	2.300E+00	1.920E-04	2.730E-02	0.074100	1.332000	2.730E-02	
0.760	1.475440	2.300E+00	1.040E-04	2.770E-02	0.066640	1.331770	2.770E-02	
0.770	1.473510	2.300E+00	6.070E-05	2.750E-02	0.059780	1.331060	2.750E-02	
0.780	1.471580	2.300E+00	2.800E-05	2.660E-02	0.053030	1.330970	2.660E-02	
0.790	1.469860	2.300E+00	7.270E-06	2.470E-02	0.047090	1.331030	2.470E-02	
0.800	1.468080	2.300E+00	0.000E+00	2.250E-02	0.041830	1.330970	2.250E-02	
0.810	1.466370	2.300E+00	0.000E+00	2.190E-02	0.037090	1.330960	2.190E-02	
0.820	1.464790	2.300E+00	0.000E+00	2.330E-02	0.032930	1.330150	2.330E-02	
0.830	1.463150	2.300E+00	0.000E+00	3.210E-02	0.029240	1.329900	3.210E-02	
0.840	1.461740	2.300E+00	0.000E+00	3.950E-02	0.025940	1.330050	3.950E-02	
0.850	1.460270	2.300E+00	0.000E+00	4.200E-02	0.022960	1.329980	4.200E-02	
0.860	1.458940	2.300E+00	0.000E+00	4.450E-02	0.020340	1.329990	4.450E-02	
0.870	1.457760	2.300E+00	0.000E+00	4.750E-02	0.018070	1.330070	4.750E-02	
0.880	1.456200	2.300E+00	0.000E+00	5.300E-02	0.016070	1.329800	5.300E-02	
0.890	1.454700	2.300E+00	0.000E+00	5.830E-02	0.014330	1.329200	5.830E-02	
0.900	1.453220	2.300E+00	0.000E+00	6.410E-02	0.012900	1.328920	6.410E-02	
0.910	1.451780	2.300E+00	0.000E+00	7.080E-02	0.011710	1.329000	7.080E-02	
0.920	1.450330	2.300E+00	0.000E+00	8.530E-02	0.010610	1.329030	8.530E-02	
0.930	1.448800	2.300E+00	0.000E+00	1.250E-01	0.009410	1.328990	1.250E-01	
0.940	1.447200	2.300E+00	0.000E+00	1.820E-01	0.008310	1.328980	1.820E-01	
0.950	1.445740	2.300E+00	0.000E+00	2.980E-01	0.007390	1.328290	2.980E-01	
0.960	1.444500	2.300E+00	0.000E+00	4.390E-01	0.006460	1.327960	4.390E-01	
0.970	1.443450	2.300E+00	0.000E+00	4.800E-01	0.005530	1.328020	4.800E-01	
0.980	1.441990	2.300E+00	0.000E+00	4.820E-01	0.004600	1.328000	4.820E-01	
0.990	1.441500	2.300E+00	0.000E+00	4.530E-01	0.003670	1.328000	4.530E-01	
1.000	1.439930	2.300E+00	0.000E+00	4.070E-01	0.002750	1.328000	4.070E-01	
1.010	1.438880	2.300E+00	0.000E+00	3.520E-01	0.001900	1.328000	3.520E-01	
1.020	1.437570	2.300E+00	0.000E+00	2.960E-01	0.001300	1.328000	2.960E-01	
1.030	1.436440	2.300E+00	0.000E+00	2.390E-01	0.000890	1.328000	2.390E-01	
1.040	1.435940	2.300E+00	0.000E+00	1.980E-01	0.000630	1.328000	1.980E-01	
1.050	1.434790	2.300E+00	0.000E+00	1.660E-01	0.000420	1.328000	1.660E-01	
1.060	1.433790	2.300E+00	0.000E+00	1.480E-01	0.000290	1.328070	1.480E-01	
1.070	1.433060	2.300E+00	0.000E+00	1.410E-01	0.000210	1.327940	1.410E-01	
1.080	1.431700	2.300E+00	0.000E+00	1.440E-01	0.000140	1.327390	1.440E-01	
1.090	1.430560	2.300E+00	0.000E+00	1.630E-01	0.000100	1.327000	1.630E-01	
1.100	1.429310	2.300E+00	0.000E+00	1.910E-01	0.000070	1.326990	1.910E-01	
1.110	1.428380	2.300E+00	0.000E+00	2.220E-01	0.000050	1.327010	2.220E-01	
1.120	1.427520	2.300E+00	0.000E+00	2.530E-01	0.000030	1.327040	2.530E-01	
1.130	1.426310	2.300E+00	0.000E+00	3.380E-01	0.000020	1.326500	3.380E-01	
1.140	1.425200	2.300E+00	0.000E+00	6.050E-01	0.000010	1.325960	6.050E-01	
1.150	1.423410	2.300E+00	0.000E+00	9.770E-01	0.000010	1.325990	9.770E-01	
1.160	1.422250	2.300E+00	0.000E+00	1.170E+00	0.000000	1.326010	1.170E+00	
1.170	1.421470	2.300E+00	0.000E+00	1.210E+00	0.000000	1.326050	1.210E+00	
1.180	1.420520	2.300E+00	0.000E+00	1.240E+00	0.000000	1.325710	1.240E+00	
1.190	1.420300	2.300E+00	0.000E+00	1.270E+00	0.000000	1.325070	1.270E+00	
1.200	1.418610	2.300E+00	0.000E+00	1.270E+00	0.000000	1.324930	1.270E+00	
1.210	1.417330	2.310E+00	0.000E+00	1.260E+00	0.000000	1.325020	1.260E+00	
1.220	1.416070	2.350E+00	0.000E+00	1.210E+00	0.000000	1.325000	1.210E+00	
1.230	1.414850	2.400E+00	0.000E+00	1.190E+00	0.000000	1.324980	1.190E+00	
1.240	1.413280	2.450E+00	0.000E+00	1.160E+00	0.000000	1.325050	1.160E+00	
1.250	1.412160	2.520E+00	0.000E+00	1.120E+00	0.000000	1.324940	1.120E+00	
1.260	1.411140	2.580E+00	0.000E+00	1.090E+00	0.000000	1.324370	1.090E+00	
1.270	1.410270	2.640E+00	0.000E+00	1.080E+00	0.000000	1.323960	1.080E+00	
1.280	1.408950	2.690E+00	0.000E+00	1.120E+00	0.000000	1.323970	1.120E+00	
1.290	1.407850	2.720E+00	0.000E+00	1.200E+00	0.000000	1.324000	1.200E+00	
1.300	1.406370	2.720E+00	0.000E+00	1.320E+00	0.000000	1.324020	1.320E+00	
1.310	1.405690	2.680E+00	0.000E+00	1.530E+00	0.000000	1.324060	1.530E+00	
1.320	1.404630	2.680E+00	0.000E+00	1.830E+00	0.000000	1.323770	1.830E+00	
